iter	Passed	Remaining
1497	33023	55157
1498	33040	55125
1499	33057	55095
1500	33074	55065
1501	33091	55035
1502	33110	55008
1503	33129	54980
1504	33148	54953
1505	33167	54927
1506	33184	54896
1507	33202	54868
1508	33220	54839
1509	33240	54813
1510	33257	54783
1511	33273	54751
1512	33289	54720
1513	33305	54688
1514	33322	54657
1515	33341	54630
1516	33360	54604
1517	33377	54573
1518	33393	54542
1519	33409	54510
1520	33426	54479
1521	33441	54447
1522	33458	54416
1523	33474	54384
1524	33490	54354
1525	33510	54327
1526	33531	54304
1527	33556	54286
1528	33581	54270
1529	33602	54247
1530	33626	54228
1531	33652	54213
1532	33675	54192
1533	33702	54178
1534	33727	54162
1535	33752	54144
1536	33775	54125
1537	33800	54107
1538	33828	54095
1539	33852	54076
1540	33877	54058
1541	33895	54031
1542	33915	54005
1543	33935	53980
1544	33956	53957
1545	33975	53930
1546	33993	53902
1547	34013	53876
1548	34029	53845
1549	34047	53817
1550	34066	53789
1551	34086	53765
1552	34105	53738
1553	34124	53711
1554	34139	53679
1555	34157	53651
1556	34176	53623
1557	34193	53594
1558	34209	53563
1559	34226	53533
1560	34244	53504
1561	34261	53475
1562	34279	53447
1563	34298	53421
1564	34318	53395
1565	34341	53375
1566	34366	53359
1567	34389	53338
1568	34414	53321
1569	34441	53306
1570	34465	53288
1571	34490	53272
1572	34522	53264
1573	34555	53259
1574	34585	53250
1575	34617	53244
1576	34653	53243
1577	34684	53235
1578	34709	53218
1579	34733	53198
1580	34753	53174
1581	34773	53150
1582	34794	53126
1583	34812	53098
1584	34828	53067
1585	34847	53039
1586	34866	53013
1587	34884	52985
1588	34903	52959
1589	34920	52929
1590	34940	52904
1591	34958	52876
1592	34977	52850
1593	34994	52821
1594	35014	52795
1595	35031	52766
1596	35049	52739
1597	35066	52709
1598	35085	52682
1599	35103	52654
1600	35123	52630
1601	35144	52607
1602	35166	52585
1603	35192	52568
1604	35216	52550
1605	35247	52541
1606	35274	52527
1607	35301	52513
1608	35328	52498
1609	35357	52486
1610	35385	52474
1611	35411	52457
1612	35440	52446
1613	35465	52428
1614	35489	52409
1615	35514	52392
1616	35541	52378
1617	35567	52362
1618	35591	52343
1619	35620	52331
1620	35647	52316
1621	35674	52302
1622	35704	52291
1623	35729	52274
1624	35752	52253
1625	35774	52231
1626	35793	52204
1627	35812	52179
1628	35832	52153
1629	35851	52128
1630	35871	52102
1631	35889	52074
1632	35906	52046
1633	35923	52016
1634	35940	51987
1635	35958	51959
1636	35978	51934
1637	35993	51902
1638	36012	51876
1639	36030	51848
1640	36047	51819
1641	36065	51791
1642	36080	51759
1643	36097	51731
1644	36116	51704
1645	36133	51675
1646	36151	51647
1647	36166	51616
1648	36185	51589
1649	36204	51563
1650	36221	51535
1651	36237	51504
1652	36257	51479
1653	36274	51451
1654	36291	51422
1655	36309	51394
1656	36326	51366
1657	36349	51345
1658	36373	51325
1659	36402	51314
1660	36436	51310
1661	36467	51300
1662	36507	51303
1663	36548	51308
1664	36590	51314
1665	36626	51312
1666	36660	51307
